no,teks,sosmed,labels
75,kerja bareng genz arrrrggghhh mumet palaku,x,Negatif
76,Capek banget kerja ama bocil genz pengin dihormatin tapi gak pernah respect sama orang lain belum lagi apa2 mental illnes dah deh resign luu gak guna jugaa konten lu nihil semuaa banyak omong doangg,x,Negatif
77,@celaluceliaaa sebagai gen z yang udah mulai kerja dari 18thn terpaksa karena keadaan ANJIR EMANG ga di kerjaan ga kehidupan sosial genz dijadiin kambing hitam mulu sat,x,Negatif
78,kasian ayangku genz dan dia dieksploitasi pas kerja di indo makanya aku ajak ayang ke sini. aku millenial,x,Negatif
79,inilah gambaran genZ kerja sama genZ gue tau ni 2 bocil mager ngantor aja yaa gapapa si gue ke kantor jg klo lg mood aja hehe https://t.co/Z1n0nqDvBY,x,Negatif
80,Emg sejak kemasukan genz ver 2000 an di sirkel kerja tuh selalu aja gebrakan Td dikantin nih bokem teriak Ceee pacarmu ultah yaaa Dalam kerumunan ituuu dan muka ku kek... Anjir siapa??? Td katanya 'yangti' yg di story itu pacarmu Baru inget anjir si jhope ,x,Negatif
81,Gedek juga liat ni orang ngedumelin cara kerja genz mulu katanya manja ini itu padahal sendirinya anak owner kerja di perusahaan bapaknya sendiri trus kerjanya berdasarkan mood dia. Bacot,x,Negatif
82,Ya Allah paringi sabar kerja sama anak genZ ,x,Negatif
83,Kalo kata GenZ bapak ini boomer yg bermental budak. Karna genz itu gak paham sama yg namanya loyalitas dan etos kerja. Tahunya itu cuma kerja dapet duit. Oalah pantes aja generasi lu banyak yg jadi pengangguran https://t.co/P3xjpelgT5,x,Negatif
84,dikasih masukan yang membangun malah dijulidin. kerjaan udah dibantuin sampe lembur sukarela dijulidin juga. kalo gk mau kerja sama genz jangan rekrut anak genz lah,x,Negatif
85,@kegblgnunfaedh Lebih baik kerja di negri orang dari pada kerja di negri sendiri banyak aturan nya belum kerja juga udah di minta dana buat masuk kerja di persulit gini,x,Negatif
86,Masalahnya banyak HR sekarang masih pake cara kerja jadul. Instead of being strategic mereka lebih sering reaktif sama keputusan CEO. No wonder banyak kebijakan mereka yang feels useless buat karyawan ,x,Negatif
87,@worksfess udh mah univ top 10 jurusan ilmu ekonomi lampirin banyak sertif masih aja kehalang: kantor yang trust issue sama gen Z berasa ter-diskriminasi gara gara as gen Z jangan labelling genZ dong pliss genZ jg butuh kerja dan butuh uanggg,x,Positif
88,@michimitha @worksfess Krna kalo genZ yg ngejulidin nanti narasinya jadi belok Gen Z tuh beneran ga sopan ya di tempat kerja masa ngebully senior. Ingat ya. Yg boleh nyinyir dan bully orang cuma milenial,x,Negatif
89,Mo yg kerja genZ kek gen alfa kek gen beta kek gen halilintar kek gen embrio kek ya minimal etitut lah anj wkwkwkkw gausa dimaklumin berdasarkan gen. Emg dablek aje orgnya anjjjjjjj wkwkwkwk,x,Negatif
90,@gen_Z_speak @sosmedkeras Bjir mental budak ga tuh? Pemikiran gen milenial dgn genZ emg beda ya dulu kita kerja apa pun buat ningkatin skill klw genZ kerja bnyak dikira dirinya budak.. ini soal miniset aja ,x,Negatif
91,@michsukacerita @kamentrader Jangan apa2 yg disalahin genZ bang mereka yg bisa kerja bener juga banyak. TTD Milenial angkatan terakhir,x,Positif
92,@convomf Apa² genz disalahin. Padahal syarat kerja di sini gila²an dan tetep ajaa ga berubah malah makin banyak ditambah jobdesk ngga sesuai yg dilamar tetep masih salah genz?,x,Positif
93,tp ya memang kl ga suka dan ga mau kerja sm gen z ya persyaratan umurnya jangan segitu gk tau kah genz tuh tahun berapa2,x,Negatif
94,Hrd : genz begini gen z begitu protes sana protes sini gen z ga kompeten tukang ngelawan ga bisa apa2 banyak mau males Also hrd : lowongan kerja maksimal 25 thn Lowongan dan seluruh barang2 dikantor hrd yg menyaksikan : oon,x,Negatif
95,@convomf Gw salah satu org yg melakukan pemecatan 1 dari 3 karyawan gw yg gen Z. Dengan alasan malas baperan tidak menerima masukan merasa benar sendiri dan si paling merasa berpengaruh dalam lingkup kerja. Tapi 2 genZ diantaranya masih oke2 aja. Sptnya b,x,Negatif
96,@ABENG_adv @bacottetangga__ Gue anak genz bang dapet didikan juga voc gue mengakui mental gue emang kuat ada kegiatan dibentak² orang or senior pas kerja juga terlatih gk nutup kemungkinan juga gue punya trauma wkwkwk struggle nya gue sampe berfikir gue ,x,Positif
97,Baca thread ini lalu baca komennya dari sekian genZ ga heran sih kalo banyak yang ngeluh kerja bareng genZ. Bukan karena personalnya kayaknya emang materi-materi kyk gini ga dikasih di level pendidikan dasar.,x,Negatif
98,Padahal genz tuh yang paling berani buat speak up ke bos pas ada masalah atau lagi rapat gitu tapi karna ini jg aku sama temen-temenku yang genz pernah disindir atasan lewat story yang isinya ttg genz kalo kerja suka membangkang ga nurut perintah tapi untungnya kita bodoamat️,x,Positif
99,Alah kurang motivasi kurang motivasi giliran pas genz keluar kerja yang udah dibikin efisien malah pada nyariin gen z,x,Positif
100,Makanya sekarang mereka lebih milih kerja di tempat yang bisa kasih keseimbangan hidup kesehatan mental yang terjaga dan kesempatan berkembang jangka panjang. Buat mereka kerja bukan sekadar cari duit tapi juga harus sesuai dengan nilai pribadi dan bikin hidup lebih bermakna,x,Positif
101,Gen Z makin sadar kalau hustle culture itu toxic dan nggak menjamin kesuksesan. Dari pengalaman generasi sebelumnya mereka belajar kalau kerja nonstop malah bikin burnout dan nggak ada jaminan hidup stabil.,x,Positif
102,Udah kerja banting tulang tapi gaji masih segitu2 aja. Yaudah mending mentingin mental health https://t.co/qgtENABMcc,x,Positif
103,Selain itu manajer perekrutan juga mencatat bahwa beberapa pekerja Gen Z sering terlambat kesulitan mengelola beban kerja dan kurang memahami norma profesional di tempat kerja. Source: detikfinance,x,Negatif
104,Sebanyak 6 dari 10 perusahaan bahkan telah memecat lulusan baru yang mereka rekrut tahun ini dengan alasan kesulitan beradaptasi dengan lingkungan kerja kurangnya pengalaman dunia nyata serta ketergantungan berlebihan pada dukungan orang tua dalam mencari pekerjaan.,x,Negatif
105,Networking emang jadi kunci sukses di dunia kerja makanya 79% pekerja di AS ngaku kalau relasi profesional bantu banget dalam karir mereka. Gak heran kalau banyak yang lebih milih ketemu langsung buat bangun koneksi dibanding virtual.,x,Positif
106,@convomf 1. gimana kurang motivasi? gaji aja dimanipulasi 2. inisiatif? ngarep dr genz yg masih ingusan? yakin? knp ga rekrut yg udh expert aja? knp? gaada duit? ga mampu gaji expert buat bikin inovasi? cuihh.. kok malah nyalah2in genz yg rata2 baru masuk,x,Negatif
107,tb tb dmn mn bahas genz males kerja gapunya motivasi yada yada dan serentak. the pattern seems suspicious,x,Negatif
108,plus : keren genz mempelajari smua matkul kreatif minus : pas kerja gajinya ga sebanding sm kerjaannya :V #yaudahlahya #advhargamati #kontentiaphari,x,Positif
109,@ichiochareport Yg tempo lalu rame bahas genz g bs kerja asli gemes bgt gw. Justru boomers lah yg g bs kerja. Liat aja kebijakan hasil boomers gabener smua. Di rl ku jg justru genz yg gampang diajarin kalo masalah tech. Mreka lbh inisiatif drpd boomers it,x,Positif
110,Bbrp hri lalu bru pisah sm rekan kerja yg udh bareng2 dri awal masuk kita masuknya cuma selisih 1 bulan. Jujurly ga trll dket yg gmn2 tp hari2 biasanya ada mreka trs tbtb ga ada tuh sepi bgt wkwk. Biasanya kita suka saling lempar jokes maklum sama2 genz,x,Positif
111,begah bgt denger genZ pickme yang ngeluh2 ga bisa gabut ga suka gabut. tapi tiap giliran cuti ga bisa dihubungi sama sekali even cuman sekedar minta forward link doang. kau belum pernah kerja sampe mau mampus selama bertahun tahun kan dek? nikmatilah gabutmu itu. muak aku,x,Negatif
112, bukan males kerja. bukan gak mau loyal. bukan gak bisa bertahan lama. GenZ ini pola nya kek yg punya cara kerja yang beda ,x,Positif
113,ak sepertinya memvalidasi kalo genz itu bosenan di tempat kerja.... WKWKWKWKWKWKWK. semoga yg ini agak lama yaaaa aku juga sadar ttg apa yang memang ditakdirkan untukmu pasti akan jadi milikmu itu beneran ada.,x,Negatif
114,@cheolisma @tanyarlfes Semua orang tanpa memandang generasi ya harusnya protes kalo ga sesuai dengan perjanjian kerja. Bukan masalah genZ lebih berani tapi kalo masih muda emang lebih berani. Kalo yg dah punya buntut mah mikir2 dulu. Nanti lu juga ngerasa,x,Positif
115,Cari kerja emang susah tapi kalo skillset lu bagus dan lu pede dengan apa yang lu bisa deliver ya tingkat kesulitan cari kerja ga akan setinggi yang lain. Ini pola pikir GenZ yg menurut kalian lemah padahal mah sebenarnya kaliannya aja yang kerja ga becus,x,Positif
116,@tanyarlfes toxic di pekerjaan ya emg harus dibantah toh emg berhak buat ngomong kek gt terus2an ajadeh understimate genz di tempat kerja. sekalinya gt dikira ga sopan dll,x,Positif
117,@MULIYONNO @kegblgnunfaedh ya iya kerjaan banyak bang cuman gasesuai karena faktanya peraturan system di indo gabikin pencari kerja enak minta syarat maksimal 25 tapi giliran yang lamar genz ngeluh ga bener bla bla yaudah gausah dibatas umur koneksi penti,x,Negatif
118,@FMGaruda @kegblgnunfaedh Kalo dipikir2 bener juga di tambah banyak berita tentang pemecatan genz karena banyak alasan jadi perusahaan munkin tidak mau cari yang sangat pinter...kocak sih tapi ya itulah kalo ada peluang kerja luar negeri sikat.,x,Negatif
119,@wannafigh @kegblgnunfaedh Itu bkn genz mau gen apa aja kalau anak manja susah kerja keras jgn salahin Gen Z anak Milik zamannya bro Pemerintah jg gagal kok mensejahterakan rakyat nya Real bgt,x,Positif
120,Gengs pasti kalian pernah denger berita soal Gen Z yang gak bisa kerja manja banyak drama baru kerja sebentar terus resign pokoknya yang negatif2 tentang Gen Z deh .Tapi kenapa ya?,x,Positif
121,bahkan sekelas retail ajaa cara kerja juga beda kalo pejabat milenial nih nyuruh2 mulu tp dia sendiri ga ngelakuin. dan BAPERAN EMOSIAN ANJ. sdngkan pejabat genz nih bawa santuyy ajaa kasir pramu dah dianggap sepantaran wkwk. no sindir2 kasir di status wa wkwk,x,Negatif
122,@tanyarlfes Bos gw aja yg milenial setuju sm cara berfikir gen z. Malah yg gen megalithikum ga terima cara kerja genz. Ttp pake sistem purba,x,Positif
123,Lah kok dibilang segila itu aku yg milenial aja berani dulu minta hak milenial ini pada kaget liat genZ pada berani speak up malah bener harusnya karyawan paham haknya dan pemberi kerja harusnya paham kewajibannya.,x,Positif
124,@tanyarlfes Ga ush bawa2 gen nder. Gw aja sampe di blok mantan bos gara2 minta uang lemburan dan bonus yg dia janjiin. Itu jg dikata2 ktny genZ lemah kerja sambil kuliah ga bisa. Lah anjir gw kerja iya bisnis iya kuliah jg iya. Minggu waktuny istirahat gw,x,Negatif
125,@tanyarlfes bukan masalah genZ kali dr dulu kerja beda2 tempat juga pada berani speak up kok either tmp kerja lo toxic or kalian pada gabisa kerja or emang mental cemen semua.,x,Positif
126,@tanyarlfes Tapi waktu aku awal kerja baru 3 bulan kerja udh dpt thr kak walau ga full. Btw aku setuju sm genz ditmpt mu kak keren bgt memerjuangkan hak mnrt ku bkn masalh genz / bukan kak yg penting berani memperjuangkan hak. Mangat selalu kak!!,x,Positif
127,@tanyarlfes yakan yang berani ngelawan aturan kerja yg dibuat oleh kalian2 generasi pendahulu cuma genZ. makanya kalian benci sama genZ. kerja overtime gak dibayar atas dasar loyalitas. kerjaan palugada lagi lagi atas nama loyalitas. yg melek aturan kan e,x,Positif
128,Ya bagus donh anying. Di tempat kerja gue dulu juga genz nya pada resign berjamaah sampe sisa yang millenial aja karena kita sadar kalo jobdesk yang dibebankan gak sesuai sama salary yang didapet. Masa iya gaji internship tapi jobdesk gada bedanya sama kartap,x,Positif
129,@balerakko009 Gw Millennial prnh mimpin krj ama GenZ 20 org an. Gw sukak banget ama GenZ - Serius tp santai. Mirip gw - Ga pake formal tp ttp hormat - Klo tujuan jelas mrk akan all out kerja bahkan sampe lembur - Komunikasi jelas Ga sempurna mmg tp gw dem,x,Positif
130,Untuk Gen Z kalian bisa buktiin kalo empati dan teamwork itu lebih penting dari sekedar stand out atau jadi si paling brilliant sendiri . Kalian bisa jadi generasi yang bawa perubahan ke dunia kerja! ,x,Positif
131,Udah banyak kok perusahaan yang berani pecat the best employees nya untuk nyiptain lingkungan kerja yang lebih supportif. It s a long investment. Diskusiin ke bos atau atasan kamu tentang ini kalo mereka masih ngebiarin si brilliant jerk tetep ada. https://t.co/TQIDvWF5Z9,x,Positif
132,@lgh_khun @WidasSatyo Wah kalau generalisir kayak gini aku malas bgt sih nyariin tim lg kalau km butuh lagi. Aku sgt yakin temen² ku as a genZ tipe pembelajar dan kalau bingung berisik bertanya. Krn aku dah pernah kerja sama mereka sebagai leader. Kayakn,x,Negatif
133,@kawibaibo Aku gen z 97 aku ambil kesimpulan sih intinya tergantung orgnya bik lagi ke pribadi bukan krn GEN angkatan anjrr aku genz tp bisa kerja. Dikntr ku bnykan Gen z dan ya kebagi ada yg bisa kerja ada yg gabisa dan annoying. Jd semua tergantung PRIB,x,Positif
134,@kawibaibo Gue millenial pernah kerja sm gen-z juga tp fine2 aja. Knp? Krn masing2 generasi di divisi gue bisa saling ngerti apa keunggulan masing2 generasi &amp,x,Positif
135,Gen-Z Style! Lagi ngetren banget di kalangan Gen-Z! Gak harus kerja keras terus yang penting kerja sesuai porsinya biar hidup tetap balance dan gak burnout. Kerja secukupnya tapi tetap maksimal! https://t.co/wA0eVmFyQs,x,Positif
136,konteks gua mo lanjut kerja di tempat sekarang tapi gaji kecil+gada kemajuan jenjang karir jg lambat trus emg gua sebenernya udh pengen resign karena ga nyaman sama lingkungannya padahal genz semua,x,Negatif
137,@araarirra Kerja sama anak genZ susah kak cape hati aku,x,Negatif
138,Btw evaluasi kerja itu penting banget loh buat progress kita. Dengan feedback yang baik kita bisa terus grow dan improve. Tapi inget ya kalau performa kamu nggak upgrade ya siap-siap aja kena goodbye moment . Perform or goodbye bro!,x,Positif
139, Tinggal scan aja :D Pas udah berhasil temen gue bukannya makasih cuma ngedumel genz. Lama kalo kerja Si babi kata gue teh Mana udah jam pulang Gue rada heran kenapa dia nanyanya ke gue karena biasanya kan nanya ke yang nyuruh ya udah mikir ga diajarin nih pasti ,x,Negatif
140,@karinamiaw pemikirannya kayak ibu-ibu/bapak-bapak tua yg baru kerja bareng genz pemikiran orang gak senethink ituhh kali cuman orang indo doang yg suka mikir berlebihan dan kejauahan.,x,Negatif
141,Udah lebih dr 5 tahunan gak naik krl jam pulang kerja gemes bgt anak2 genZ ini naik menuhin krl tp gak ngerti basic baris berdiri supaya lu bs pegangan. Enak bener nyenderin badan ke orang belakang. Ya gue tegorin lah atu2. @CurhatKRL,x,Negatif
142,ngerasain bgt cpknya punya partner kerja genz dan lebih muda klo salah ga pernah ngaku adany alesan mulu tau dia salah tp malah dia yg jd marah2 tuh kek manaaa anjritttt,x,Negatif
143,@Brighteessttt gaya makeup nya pun sama woyyyy genz kita beneran kerja kelompok kah dgn ebom? Hahahahhahahaha,x,Negatif
144,@tempodotco keliatan org indo emg tolol. turki inflasi tinggi ppn 20% harga tempat tinggal naik terus genz nya milih kerja remote karena bener2 gk bisa hidup. terus lu puji tuh erdogan.,x,Negatif
